region,distance_km,warehouse_load,carrier_reliability,actual_delivery_hours,margin,late_penalty
Tier-2,4.6761227136957055,0.6704110110931726,0.7237999650841035,24.483570765056164,500,800
Metro,6.512802743751327,0.7841700191630205,0.9266710885303957,17.585207096486446,500,800
Remote,5.041448808019862,0.8887939466865682,0.7969544771480044,35.18150830480554,500,800
Metro,9.066592112183539,0.8575615963846873,0.893168499979592,22.569089569224076,500,800
Tier-2,16.606801852033414,0.7699217179909255,0.8004499063171329,20.829233126383322,500,800
Tier-2,4.237503584675819,0.6916917553636776,0.9308221408801253,20.8293152152541,500,800
Remote,15.813422970332201,0.7037509906165087,0.9576396240197365,42.63370252405913,500,800
Metro,15.125857181799585,0.7165676059981327,0.9428791032861946,20.302304187458727,500,800
Tier-2,14.854510478157593,0.6744227644730759,0.8404973335541575,19.65262807032524,500,800
Metro,8.604371252109082,0.8495378174448489,0.7243459671522479,19.627680130757895,500,800
Metro,4.518464639726702,0.5627076261359149,0.8077962206800945,16.609746921562614,500,800
Remote,26.113094210776907,0.9837270603586383,0.823092238464474,26.274161971437945,500,800
Remote,20.567454428007768,0.8894927509857701,0.9784736631484936,31.935698172528273,500,800
Tier-2,8.758595246882317,0.6490815260833869,0.8639942185100578,12.43359877671101,500,800
Metro,10.020592258483356,0.5212737846353178,0.885845407539968,12.825246502460901,500,800
Remote,6.792257641208323,0.8556515861894631,0.9267810384906014,25.501699766072218,500,800
Metro,1.46243597193501,0.8671795224849166,0.8647787154909983,14.961506638996728,500,800
Metro,7.808144954982875,0.9818113052637882,0.8735605366630009,18.94274199778582,500,800
Tier-2,12.031373562166257,0.6268527787875825,0.7711450612270355,17.459879622393945,500,800
Metro,5.304853235648084,0.5413625451021119,0.7170713161927699,13.763088895994127,500,800
Remote,6.519128264030993,0.9575673788592163,0.9092019049416203,41.72519015137243,500,800
Metro,6.472197489925814,0.6293245173063876,0.9461185622327835,17.322671098540393,500,800
Metro,9.156413732104529,0.8607657236619409,0.8194800531642801,18.20258461406377,500,800
Tier-2,7.01116310507231,0.530329818913839,0.8591851914419808,14.876259068932717,500,800
Tier-2,4.048656491958278,0.8802924024880835,0.789112715927354,19.278086377374088,500,800
Metro,9.133540286371813,0.5635129485685701,0.830563972105063,18.3327677691296,500,800
Metro,11.595176291150045,0.8477931740208018,0.760578020617272,14.547019267733091,500,800
Tier-2,9.761453946779348,0.7661715239267024,0.9203671743504387,23.87849009172836,500,800
Metro,1.3304965844500787,0.9777440652336302,0.8426544184547775,16.198083930243584,500,800
Metro,13.157372480929562,0.5184588215386715,0.8586754004312129,17.124918750620168,500,800
Tier-2,3.043899306420046,0.646024372900029,0.7107555426957547,18.991466938853016,500,800
Metro,11.456785191090813,0.5347544586671219,0.8804955337650707,23.556834553526812,500,800
Remote,11.815591069642245,0.9395988176198595,0.7587701854822589,29.892022202096527,500,800
Tier-2,2.066850700394573,0.7969505768305538,0.8111844468658129,16.711445355220498,500,800
Remote,15.456410072335977,0.7674848061789494,0.8196875530277942,36.58035929682551,500,800
Metro,25.936013905713843,0.5657289460581549,0.8301324532715463,14.337469050086934,500,800
Remote,6.673838482388371,0.7445161286565254,0.7659565528432813,31.670908760038042,500,800
Metro,11.458445920830334,0.6993518275879077,0.9465319651675357,12.120989628360674,500,800
Metro,5.7990187403447155,0.6578759340695116,0.8240765437043405,14.015441853304708,500,800
Metro,3.004493113276715,0.8860944777492972,0.8775189927933957,18.590583707607372,500,800
Metro,16.47468670508431,0.5306380199167224,0.8780418882511941,20.215399739986232,500,800
Metro,11.66282095502896,0.8233428636811009,0.8760255555821959,18.51410484356991,500,800
Tier-2,4.771884168412191,0.9114965156011059,0.8622022225953831,21.421758588058797,500,800
Metro,3.1309249832381862,0.9536536414301622,0.9385614669967887,17.096688913232132,500,800
Metro,26.868592272082875,0.872958297377705,0.9356591659866849,13.564434028897718,500,800
